mAP: 40.85%, loss: 3.9425%
mAP: 39.76%, loss: 4.5881%
mAP: 38.1%, loss: 3.9338%
mAP: 39.05%, loss: 4.6478%
mAP: 39.46%, loss: 4.2328%
mAP: 39.16%, loss: 5.2916%
mAP: 37.67%, loss: 3.9151%
mAP: 40.72%, loss: 4.068%
mAP: 40.38%, loss: 4.0455%
mAP: 40.42%, loss: 4.6537%
mAP: 39.57%, loss: 4.0008%
mAP: 39.66%, loss: 5.0198%
mAP: 40.99%, loss: 3.765%
mAP: 41.75%, loss: 3.7384%
mAP: 40.62%, loss: 3.7163%
mAP: 41.37%, loss: 4.5032%
mAP: 41.56%, loss: 4.8893%
mAP: 40.78%, loss: 4.8486%
mAP: 41.83%, loss: 3.6713%
mAP: 41.14%, loss: 3.6405%
mAP: 42.45%, loss: 4.7944%
mAP: 41.08%, loss: 4.7723%
mAP: 42.39%, loss: 3.8025%
mAP: 41.61%, loss: 4.7362%
mAP: 42.5%, loss: 4.1371%
mAP: 41.73%, loss: 4.1143%
mAP: 42.24%, loss: 4.6988%
mAP: 43.17%, loss: 3.7516%
mAP: 42.98%, loss: 4.2751%
mAP: 42.43%, loss: 4.6628%
mAP: 43.08%, loss: 3.7258%
mAP: 41.87%, loss: 3.7276%
mAP: 43.84%, loss: 3.7126%
mAP: 43.04%, loss: 4.2325%
mAP: 43.2%, loss: 3.5195%
mAP: 42.24%, loss: 4.0563%
mAP: 43.64%, loss: 3.5163%
mAP: 43.1%, loss: 3.5167%
mAP: 42.75%, loss: 4.6166%
mAP: 42.79%, loss: 4.5759%
mAP: 43.29%, loss: 4.0013%
mAP: 42.71%, loss: 3.4991%
mAP: 43.54%, loss: 4.1771%
mAP: 42.71%, loss: 4.5287%
mAP: 43.38%, loss: 4.5166%
mAP: 43.17%, loss: 3.481%
mAP: 44.41%, loss: 3.6178%
mAP: 44.38%, loss: 4.1165%
mAP: 44.04%, loss: 4.085%
mAP: 44.24%, loss: 3.4533%
mAP: 44.11%, loss: 3.6048%
mAP: 44.84%, loss: 4.1048%
mAP: 43.87%, loss: 3.4217%
mAP: 43.67%, loss: 3.4056%
mAP: 44.2%, loss: 4.4524%
