mAP: 20.44%, loss: 7.6634%
mAP: 25.48%, loss: 6.7138%
mAP: 28.4%, loss: 4.9668%
mAP: 30.2%, loss: 5.7457%
mAP: 31.45%, loss: 4.9587%
mAP: 32.0%, loss: 6.1959%
mAP: 31.84%, loss: 4.4177%
mAP: 35.33%, loss: 4.5995%
mAP: 35.72%, loss: 4.5411%
mAP: 34.62%, loss: 5.2206%
mAP: 35.13%, loss: 4.4226%
mAP: 35.06%, loss: 5.6074%
mAP: 35.96%, loss: 4.1376%
mAP: 37.28%, loss: 4.099%
mAP: 37.15%, loss: 4.0691%
mAP: 37.34%, loss: 4.966%
mAP: 37.8%, loss: 5.3937%
mAP: 37.37%, loss: 5.3407%
mAP: 38.65%, loss: 3.9916%
mAP: 37.46%, loss: 3.9614%
mAP: 38.08%, loss: 5.2789%
mAP: 38.13%, loss: 5.2311%
mAP: 39.51%, loss: 4.1222%
mAP: 37.46%, loss: 5.1617%
mAP: 39.48%, loss: 4.4954%
mAP: 38.86%, loss: 4.4597%
mAP: 38.48%, loss: 5.0998%
mAP: 39.72%, loss: 4.0259%
mAP: 39.64%, loss: 4.6231%
mAP: 39.19%, loss: 5.061%
mAP: 39.66%, loss: 4.0145%
mAP: 39.31%, loss: 3.9934%
mAP: 40.82%, loss: 3.9844%
mAP: 40.07%, loss: 4.5747%
mAP: 40.11%, loss: 3.7684%
mAP: 39.63%, loss: 4.3486%
mAP: 40.12%, loss: 3.7518%
mAP: 40.39%, loss: 3.7447%
mAP: 40.15%, loss: 4.9698%
mAP: 39.82%, loss: 4.9259%
mAP: 40.65%, loss: 4.2862%
mAP: 40.34%, loss: 3.7322%
mAP: 41.23%, loss: 4.4767%
mAP: 40.01%, loss: 4.8721%
mAP: 40.48%, loss: 4.8458%
mAP: 40.47%, loss: 3.6974%
mAP: 41.21%, loss: 3.8505%
mAP: 41.44%, loss: 4.3997%
mAP: 41.53%, loss: 4.3862%
mAP: 41.18%, loss: 3.6662%
mAP: 41.09%, loss: 3.8271%
mAP: 41.8%, loss: 4.3834%
mAP: 40.72%, loss: 3.6248%
mAP: 40.92%, loss: 3.6182%
mAP: 41.49%, loss: 4.7648%
mAP: 41.51%, loss: 4.7104%
mAP: 40.87%, loss: 4.7136%
mAP: 42.0%, loss: 3.7845%
mAP: 42.42%, loss: 4.1076%
mAP: 42.03%, loss: 3.7658%
mAP: 42.2%, loss: 4.2751%
mAP: 42.54%, loss: 3.7437%
mAP: 41.7%, loss: 3.7416%
mAP: 41.76%, loss: 4.2826%
mAP: 40.84%, loss: 4.6543%
mAP: 41.96%, loss: 4.2537%
mAP: 42.31%, loss: 4.637%
mAP: 42.21%, loss: 3.5509%
mAP: 42.13%, loss: 4.2425%
mAP: 42.18%, loss: 4.05%
mAP: 41.97%, loss: 3.5419%
mAP: 42.51%, loss: 3.5195%
mAP: 41.96%, loss: 4.2282%
mAP: 42.55%, loss: 3.6882%
mAP: 43.12%, loss: 3.5214%
mAP: 42.99%, loss: 4.0313%
mAP: 42.93%, loss: 4.592%
mAP: 42.78%, loss: 4.0124%
mAP: 43.29%, loss: 4.5612%
mAP: 42.81%, loss: 3.6683%
mAP: 43.13%, loss: 4.5717%
mAP: 43.03%, loss: 4.1688%
mAP: 42.9%, loss: 4.1461%
mAP: 43.45%, loss: 3.9785%
mAP: 43.05%, loss: 4.5341%
mAP: 43.04%, loss: 4.526%
mAP: 42.71%, loss: 4.5205%
mAP: 43.11%, loss: 4.1354%
mAP: 43.79%, loss: 4.1288%
mAP: 43.15%, loss: 3.9546%
mAP: 43.05%, loss: 3.6308%
mAP: 43.22%, loss: 3.4621%
mAP: 42.8%, loss: 3.4568%
mAP: 43.72%, loss: 3.6171%
mAP: 43.8%, loss: 4.115%
mAP: 43.25%, loss: 3.619%
mAP: 43.35%, loss: 4.4812%
mAP: 43.31%, loss: 3.9332%
mAP: 43.25%, loss: 4.0915%
mAP: 43.67%, loss: 3.9245%
mAP: 43.08%, loss: 3.4277%
mAP: 43.86%, loss: 3.5682%
mAP: 43.68%, loss: 3.5812%
mAP: 43.73%, loss: 4.0874%
mAP: 43.19%, loss: 3.4179%
mAP: 43.47%, loss: 3.5866%
mAP: 43.52%, loss: 4.4598%
mAP: 44.35%, loss: 3.5803%
mAP: 44.2%, loss: 4.0604%
mAP: 44.23%, loss: 4.0575%
mAP: 44.04%, loss: 4.0566%
mAP: 43.1%, loss: 4.4055%
mAP: 44.17%, loss: 3.8739%
mAP: 43.84%, loss: 4.4112%
mAP: 44.37%, loss: 3.5556%
mAP: 43.96%, loss: 4.3962%
mAP: 43.63%, loss: 4.3828%
mAP: 43.84%, loss: 4.3908%
mAP: 43.63%, loss: 4.391%
mAP: 44.38%, loss: 3.8727%
mAP: 44.31%, loss: 4.0296%
mAP: 44.14%, loss: 3.8371%
mAP: 44.1%, loss: 3.8524%
mAP: 44.02%, loss: 4.0004%
mAP: 44.24%, loss: 3.8361%
mAP: 44.44%, loss: 3.5292%
mAP: 43.86%, loss: 4.023%
mAP: 44.53%, loss: 3.8303%
mAP: 44.65%, loss: 4.0008%
mAP: 43.94%, loss: 3.3861%
mAP: 44.43%, loss: 3.3727%
mAP: 44.19%, loss: 3.8375%
mAP: 44.21%, loss: 3.9909%
mAP: 44.7%, loss: 3.828%
mAP: 44.4%, loss: 3.8302%
mAP: 44.12%, loss: 3.9883%
mAP: 44.62%, loss: 3.8112%
mAP: 44.74%, loss: 3.8093%
mAP: 44.33%, loss: 3.5004%
mAP: 44.62%, loss: 3.5105%
mAP: 44.28%, loss: 3.989%
mAP: 44.28%, loss: 4.3294%
mAP: 44.56%, loss: 3.966%
mAP: 44.07%, loss: 4.3258%
mAP: 44.43%, loss: 3.9632%
mAP: 44.79%, loss: 3.8124%
mAP: 44.09%, loss: 3.4998%
mAP: 44.78%, loss: 3.8018%
mAP: 44.07%, loss: 3.3482%
mAP: 44.25%, loss: 3.4995%
mAP: 44.63%, loss: 4.3325%
mAP: 44.65%, loss: 3.9645%
mAP: 44.31%, loss: 3.3435%
mAP: 44.7%, loss: 4.3281%
mAP: 44.58%, loss: 3.7868%
mAP: 44.46%, loss: 4.3%
mAP: 44.53%, loss: 3.4991%
mAP: 44.86%, loss: 3.9567%
mAP: 44.96%, loss: 3.786%
mAP: 44.48%, loss: 3.34%
mAP: 44.94%, loss: 3.7918%
mAP: 44.28%, loss: 3.3378%
mAP: 44.64%, loss: 3.3434%
mAP: 45.05%, loss: 3.9424%
mAP: 44.7%, loss: 3.4802%
mAP: 44.72%, loss: 3.7746%
mAP: 44.29%, loss: 3.3385%
mAP: 45.12%, loss: 4.3131%
mAP: 44.69%, loss: 4.2829%
mAP: 44.92%, loss: 3.7636%
mAP: 44.65%, loss: 4.2928%
mAP: 44.66%, loss: 4.2839%
mAP: 44.56%, loss: 4.2648%
mAP: 45.13%, loss: 3.9149%
mAP: 44.67%, loss: 4.2678%
mAP: 44.66%, loss: 3.4655%
mAP: 45.43%, loss: 3.9211%
mAP: 44.99%, loss: 3.4658%
mAP: 44.83%, loss: 3.7484%
mAP: 45.11%, loss: 3.7558%
mAP: 44.99%, loss: 3.7588%
mAP: 45.0%, loss: 3.7586%
mAP: 44.94%, loss: 3.459%
mAP: 44.97%, loss: 3.4538%
mAP: 45.03%, loss: 4.2749%
mAP: 44.72%, loss: 3.3325%
mAP: 44.88%, loss: 3.3136%
mAP: 44.95%, loss: 3.4575%
mAP: 45.02%, loss: 3.3105%
mAP: 44.55%, loss: 3.2997%
mAP: 45.09%, loss: 4.2814%
mAP: 45.15%, loss: 3.7547%
